serial_no,C1,C2,C3,C4,C5,C6,C7,C8
1,1,1,15200,80,6.5,24,Healthy,Live
2,2,2,26100,90,6.75,30,Healthy,Closed
3,3,3,22400,80,7.5,36,Defaulted,
4,4,4,21600,90,7.5,42,Defaulted,
5,5,5,44000,100,10,60,Healthy,Live
6,6,6,11200,40,4.25,12,Healthy,Closed
7,7,7,16800,80,5.5,18,Healthy,Closed
8,8,8,19800,90,6.75,24,Healthy,Closed
9,9,9,17100,90,6.5,30,Healthy,Closed
10,10,10,26100,90,7.75,42,Healthy,Live
11,11,11,26100,90,6.75,30,Healthy,Closed
12,12,12,28000,80,6,18,Healthy,Closed
13,13,13,21600,90,6.75,24,Healthy,Closed
14,14,14,31000,100,9,54,Healthy,Live
15,15,15,26100,90,7.75,42,Healthy,Live
16,16,16,26100,90,6.75,30,Defaulted,
17,17,17,11200,40,4.25,12,Healthy,Closed
18,18,18,0,0,NULL,NULL,None,
19,19,19,11000,50,4.25,12,Healthy,Closed
20,20,20,11200,40,4.25,12,Healthy,Closed
21,21,21,11600,40,4.25,12,Healthy,Closed
22,22,22,14500,50,4.25,12,Healthy,Closed
23,23,23,0,0,NULL,NULL,None,
24,24,24,21000,60,4.5,18,Healthy,Closed
25,25,25,16800,70,4.75,18,Healthy,Closed
26,26,26,17600,80,6.75,18,Healthy,Closed
27,27,27,20300,70,6,18,Healthy,Closed
28,28,28,26400,60,6.25,24,Healthy,Closed
29,29,29,20300,70,5,18,Healthy,Closed
30,30,30,13300,70,4.75,18,Healthy,Closed
31,31,31,57600,90,9,30,Healthy,Closed
32,32,32,19600,70,5,18,Healthy,Closed
33,33,33,0,0,NULL,NULL,None,
34,34,34,14400,60,4.5,18,Defaulted,
35,35,35,16800,80,8.75,36,Healthy,Live
36,36,36,19800,90,8,24,Healthy,Closed
37,37,37,39900,70,7,24,Healthy,Closed
38,38,38,20300,70,5,18,Healthy,Closed
39,39,39,38400,80,8,24,Healthy,Closed
40,40,40,22400,80,6,18,Healthy,Closed
41,41,41,21600,90,9.25,42,Defaulted,
42,42,42,25200,90,9.5,36,Unhealthy,Live
43,43,43,25200,90,9.5,36,Defaulted,
44,44,44,22400,80,8.25,30,Healthy,Closed
